mic,imu
63.0,4.24
10.0,4.23
20.0,4.23
1.0,4.23
6.0,4.25
13.0,4.24
36.0,4.23
23.0,4.24
44.0,4.24
45.0,4.23
79.0,4.23
64.0,4.25
59.0,4.24
44.0,4.24
34.0,4.24
29.0,4.24
21.0,4.24
20.0,4.26
18.0,4.27
48.0,4.25
60.0,4.23
89.0,4.22
41.0,4.25
62.0,4.24
40.0,4.23
33.0,4.23
42.0,4.22
63.0,4.24
95.0,4.23
77.0,4.24
100.0,4.23
65.0,4.24
47.0,4.24
15.0,4.24
9.0,4.25
27.0,4.25
10.0,4.24
41.0,4.24
38.0,4.24
76.0,4.24
83.0,4.23
95.0,4.23
94.0,4.23
61.0,4.24
52.0,4.23
28.0,4.25
27.0,4.23
50.0,4.23
67.0,4.24
69.0,4.24
79.0,4.25
75.0,4.24
68.0,4.23
88.0,4.25
57.0,4.24
19.0,4.26
45.0,4.24
72.0,4.26
74.0,4.25
22.0,4.24
62.0,4.24
40.0,4.23
23.0,4.24
63.0,4.22
76.0,4.25
86.0,4.22
89.0,4.23
91.0,4.23
121.0,4.24
100.0,4.24
113.0,4.24
115.0,4.26
116.0,4.24
117.0,4.25
117.0,4.24
125.0,4.25
127.0,4.24
123.0,4.24
122.0,4.23
122.0,4.23
121.0,4.23
119.0,4.23
109.0,4.22
108.0,4.23
55.0,4.24
26.0,4.24
20.0,4.23
16.0,4.25
12.0,4.24
3.0,4.25
5.0,4.24
3.0,4.24
1.0,4.26
7.0,4.23
40.0,4.23
28.0,4.24
40.0,4.25
50.0,4.22
48.0,4.24
59.0,4.23
23.0,4.23
56.0,4.24
29.0,4.23
32.0,4.24
18.0,4.22
8.0,4.25
6.0,4.25
67.0,4.23
43.0,4.24
34.0,4.23
79.0,4.24
103.0,4.24
54.0,4.25
31.0,4.23
39.0,4.24
34.0,4.23
59.0,4.24
63.0,4.25
77.0,4.23
48.0,4.24
47.0,4.24
20.0,4.24
24.0,4.24
20.0,4.24
14.0,4.25
16.0,4.24
35.0,4.23
39.0,4.24
58.0,4.24
48.0,4.23
8.0,4.25
17.0,4.24
16.0,4.25
41.0,4.24
89.0,4.25
64.0,4.22
89.0,4.23
83.0,4.23
10.0,4.24
45.0,4.24
46.0,4.24
33.0,4.24
29.0,4.23
40.0,4.24
63.0,4.24
58.0,4.24
50.0,4.25
76.0,4.23
91.0,4.23
82.0,4.25
68.0,4.25
39.0,4.23
62.0,4.22
61.0,4.24
